usaf,wban,name,country,state,call,lat,lon,elev,begin,end
21850,99999,LULEA-KALLAX,SW,,,65.55,22.133,34,20010402,20011008
21990,99999,YLINENJARVI,SW,,,66.617,23.467,132,20010701,20180807
22060,99999,STORLIEN-STORVALLEN,SW,,,63.283,12.133,583,19350101,20130228
22070,99999,STORLIEN-VISJOVALEN A,SW,,,63.283,12.117,583,19730101,20180807
22090,99999,SYLARNA,SW,,,63.05,12.283,1030,19730101,20180712
22100,99999,BLAHAMMAREN,SW,,,63.183,12.167,1090,20100920,20180807
22150,99999,ARESKUTAN,SW,,,63.433,13.083,1280,19970901,20040822
22160,99999,MATTMAR,SW,,,63.3,13.883,365,19730101,20160421
22170,99999,ARE,SW,,,63.367,13.167,435,20010701,20160421
22190,99999,GADDEDE A,SW,,,64.5,14.217,550,20080301,20180807
22210,99999,KORSVATTNET,SW,,,63.833,13.5,717,19971201,20180807
22220,99999,GADDEDE,SW,,,64.5,14.167,330,19550101,20080218
22230,99999,STEMSJON (AUT),SW,,,63.967,13.717,680,19730101,19770630
22240,99999,FOLLINGE-VAGSKALET,SW,,,63.767,14.433,475,20020609,20020609
22280,99999,EDEVIK,SW,,,64.05,12.95,453,19730101,19770630
22330,99999,SAXNAS,SW,,,64.967,15.383,545,20010701,20160421
22430,99999,JUNSELE,SW,,,63.683,16.95,214,19730101,20180807
22440,99999,JUNSELE,SW,,,63.683,16.95,217,19960201,20080218
22450,99999,VILHELMINA,SW,,,64.583,16.85,349,19960801,20180807
22480,99999,KRANGEDE,SW,,,63.167,16.167,223,19770704,20050218
22510,99999,STORSJO KAPELL,SW,,,62.8,13.067,575,19730101,19770630
22520,99999,IDVATTNET,SW,,,64.45,17.083,353,19830201,20070307
22550,99999,FRANSTA,SW,,,62.5,16.183,75,19730101,19770630
22560,99999,RISTRASK,SW,,,64.733,17.4,575,20010701,20160421
22570,99999,FLOTNINGEN,SW,,,61.85,12.267,670,19730101,19770630
22600,99999,VASTMARKUM,SW,,,63.133,18.25,143,19730101,20180807
22640,99999,FREDRIKA,SW,,,64.083,18.417,300,19730101,20021028
22650,99999,HEMLING,SW,,,63.65,18.55,183,20010701,20180807
22660,99999,VILHELMINA (AUTO),SW,,,64.583,16.85,349,20020608,20020608
22700,99999,NORSJO,SW,,,64.917,19.467,301,20010614,20030914
22740,99999,VINDELN,SW,,,64.217,19.717,206,19960501,20000509
22810,99999,AMAL,SW,,,59.05,12.7,60,19730101,19770630
22830,99999,UMEA-SOL,SW,,,63.817,20.233,22,19840712,19840712
22920,99999,HOKMARKSBERGET,SW,,,64.433,21.283,105,20010701,20160421
